,date,type_objet,nombre_objets_perdus
205,2016-04-01 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",254
206,2016-04-01 00:00:00+00:00,"Articles d'enfants, de puériculture",29
207,2016-04-01 00:00:00+00:00,"Articles de sport, loisirs, camping",24
208,2016-04-01 00:00:00+00:00,Articles médicaux,10
209,2016-04-01 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",491
210,2016-04-01 00:00:00+00:00,"Bijoux, montres",17
211,2016-04-01 00:00:00+00:00,"Clés, porte-clés, badge magnétique",96
212,2016-04-01 00:00:00+00:00,Divers,29
213,2016-04-01 00:00:00+00:00,Instruments de musique,7
214,2016-04-01 00:00:00+00:00,"Livres, articles de papéterie",52
215,2016-04-01 00:00:00+00:00,Optique,78
216,2016-04-01 00:00:00+00:00,Parapluies,45
217,2016-04-01 00:00:00+00:00,Pièces d'identités et papiers personnels,185
218,2016-04-01 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",221
219,2016-04-01 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",12
220,2016-04-01 00:00:00+00:00,"Vêtements, chaussures",198
221,2016-04-08 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",255
222,2016-04-08 00:00:00+00:00,"Articles d'enfants, de puériculture",25
223,2016-04-08 00:00:00+00:00,"Articles de sport, loisirs, camping",12
224,2016-04-08 00:00:00+00:00,Articles médicaux,10
225,2016-04-08 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",492
226,2016-04-08 00:00:00+00:00,"Bijoux, montres",10
227,2016-04-08 00:00:00+00:00,"Clés, porte-clés, badge magnétique",89
228,2016-04-08 00:00:00+00:00,Divers,42
229,2016-04-08 00:00:00+00:00,Instruments de musique,10
230,2016-04-08 00:00:00+00:00,"Livres, articles de papéterie",51
231,2016-04-08 00:00:00+00:00,Optique,93
232,2016-04-08 00:00:00+00:00,Parapluies,28
233,2016-04-08 00:00:00+00:00,Pièces d'identités et papiers personnels,173
234,2016-04-08 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",211
235,2016-04-08 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",23
236,2016-04-08 00:00:00+00:00,"Vêtements, chaussures",172
237,2016-04-15 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",267
238,2016-04-15 00:00:00+00:00,"Articles d'enfants, de puériculture",23
239,2016-04-15 00:00:00+00:00,"Articles de sport, loisirs, camping",17
240,2016-04-15 00:00:00+00:00,Articles médicaux,9
241,2016-04-15 00:00:00+00:00,"Bagagerie: sacs, valises, cartables",517
242,2016-04-15 00:00:00+00:00,"Bijoux, montres",15
243,2016-04-15 00:00:00+00:00,"Clés, porte-clés, badge magnétique",117
244,2016-04-15 00:00:00+00:00,Divers,42
245,2016-04-15 00:00:00+00:00,Instruments de musique,3
246,2016-04-15 00:00:00+00:00,"Livres, articles de papéterie",48
247,2016-04-15 00:00:00+00:00,Optique,115
248,2016-04-15 00:00:00+00:00,Parapluies,24
249,2016-04-15 00:00:00+00:00,Pièces d'identités et papiers personnels,170
250,2016-04-15 00:00:00+00:00,"Porte-monnaie / portefeuille, argent, titres",240
251,2016-04-15 00:00:00+00:00,"Vélos, trottinettes, accessoires 2 roues",26
252,2016-04-15 00:00:00+00:00,"Vêtements, chaussures",206
253,2016-04-22 00:00:00+00:00,"Appareils électroniques, informatiques, appareils photo",289
